init_assem_id,entering_assem_id,product_assem_id,leaving_assem_id,metal_bs_component,metal_bs_site,leaving_bs_component,leaving_bs_site,entering_bs_component,entering_bs_site,duplicate_count,id
M3L3X,,M3L3,X,M3,0,X0,0,L6,1,1,
M4L4X,,M4L4,X,M3,1,X0,0,L0,0,1,
M3L2X2,M6L7,M9L9X,X,M4,0,X1,0,L1,0,4,
M3L2X2,M2L3,M5L5X,X,M4,0,X1,0,L6,0,4,
M3L2X2,ML2,M4L4X,X,M4,0,X1,0,L8,0,4,
M3L2X2,L,M3L3X,X,M4,0,X1,0,L1,0,4,
M3L2X2,M4L5,M7L7X,X,M4,0,X1,0,L1,0,4,
M3L2X2,M5L6,M8L8X,X,M4,0,X1,0,L10,1,4,
M3L2X2,M2L2X,M5L4X2,X,M4,0,X1,0,L4,1,2,
M3L2X2,M3L3X,M6L5X2,X,M4,0,X1,0,L6,1,2,
M3L2X2,M3L4,M6L6X,X,M4,0,X1,0,L5,0,4,
M3L2X2,MLX,M4L3X2,X,M4,0,X1,0,L6,1,2,
M3L2X2,M7L7X,M10L9X2,X,M4,0,X1,0,L1,0,2,
M3L2X2,M6L6X,M9L8X2,X,M4,0,X1,0,L1,0,2,
M3L2X2,M5L5X,M8L7X2,X,M4,0,X1,0,L9,1,2,
M3L2X2,M7L8,M10L10X,X,M4,0,X1,0,L2,0,4,
M3L2X2,M4L4X,M7L6X2,X,M4,0,X1,0,L0,0,2,
M10L9X2,L,M10L10X,X,M0,0,X0,0,L1,0,4,
M4L3X2,M6L7,M10L10X,X,M2,0,X1,0,L1,0,4,
M4L3X2,M2L3,M6L6X,X,M2,0,X1,0,L6,0,4,
M4L3X2,ML2,M5L5X,X,M2,0,X1,0,L8,0,4,
M4L3X2,L,M4L4X,X,M2,0,X1,0,L1,0,4,
M4L3X2,M4L5,M8L8X,X,M2,0,X1,0,L1,0,4,
M4L3X2,M5L6,M9L9X,X,M2,0,X1,0,L10,1,4,
M4L3X2,M2L2X,M6L5X2,X,M2,0,X1,0,L4,1,2,
M4L3X2,M3L3X,M7L6X2,X,M2,0,X1,0,L6,1,2,
M4L3X2,M3L4,M7L7X,X,M2,0,X1,0,L5,0,4,
M4L3X2,MLX,M5L4X2,X,M2,0,X1,0,L6,1,2,
M4L3X2,M6L6X,M10L9X2,X,M2,0,X1,0,L1,0,2,
M4L3X2,M5L5X,M9L8X2,X,M2,0,X1,0,L9,1,2,
M4L3X2,M4L4X,M8L7X2,X,M2,0,X1,0,L0,0,2,
M9L8X2,ML2,M10L10X,X,M0,0,X0,0,L8,0,4,
M9L8X2,L,M9L9X,X,M0,0,X0,0,L1,0,4,
M9L8X2,MLX,M10L9X2,X,M0,0,X0,0,L6,1,2,
M6L5X2,M2L3,M8L8X,X,M1,0,X1,0,L6,0,4,
M6L5X2,ML2,M7L7X,X,M1,0,X1,0,L8,0,4,
M6L5X2,L,M6L6X,X,M1,0,X1,0,L1,0,4,
M6L5X2,M4L5,M10L10X,X,M1,0,X1,0,L1,0,4,
M6L5X2,M2L2X,M8L7X2,X,M1,0,X1,0,L4,1,2,
M6L5X2,M3L3X,M9L8X2,X,M1,0,X1,0,L6,1,2,
M6L5X2,M3L4,M9L9X,X,M1,0,X1,0,L5,0,4,
M6L5X2,MLX,M7L6X2,X,M1,0,X1,0,L6,1,2,
M6L5X2,M4L4X,M10L9X2,X,M1,0,X1,0,L0,0,2,
M8L8X,M2L3,M10L11,X,M0,0,X0,0,L6,0,2,
M8L8X,ML2,M9L10,X,M0,0,X0,0,L8,0,2,
M8L8X,L,M8L9,X,M0,0,X0,0,L1,0,2,
M8L8X,M2L2X,M10L10X,X,M0,0,X0,0,L4,1,1,
M8L8X,MLX,M9L9X,X,M0,0,X0,0,L6,1,1,
M10L10X,L,M10L11,X,M0,0,X0,0,L1,0,2,
M2L2X,M6L7,M8L9,X,M2,0,X0,0,L1,0,2,
M2L2X,M2L3,M4L5,X,M2,0,X0,0,L6,0,2,
M2L2X,ML2,M3L4,X,M2,0,X0,0,L8,0,2,
